noun;freq_noun;n_preds;n_cells;log_freq;n_lvcs;n_svs
interesse;260748;6;3;5,416220986;3;3
amore;186567;4;2;5,270834828;3;1
dubbio;93128;1;1;4,969080276;1;0
paura;89449;10;3;4,95157549;7;3
pena;71264;8;3;4,852870195;7;1
dolore;62615;7;3;4,796678385;5;2
desiderio;60228;3;1;4,779798442;3;0
passione;57830;5;3;4,762153192;3;2
fiducia;49372;5;3;4,69348072;5;0
emozione;42927;6;3;4,632730538;4;2
gioia;38299;6;2;4,583187435;5;1
coraggio;36178;7;3;4,558444554;6;1
disagio;35960;4;2;4,555819683;4;0
affetto;32689;3;1;4,514401635;3;0
impressione;28761;5;3;4,458803982;3;2
timore;23920;7;3;4,378761175;5;2
odio;21089;4;1;4,324055987;3;1
entusiasmo;20138;5;3;4,304016337;3;2
rabbia;17841;6;3;4,251419193;5;1
ansia;17189;6;3;4,235250612;6;0
terrore;15715;5;2;4,196314385;4;1
orgoglio;14651;5;3;4,165867268;3;2
orrore;14249;5;2;4,153784386;5;0
calma;13528;4;3;4,131233595;2;2
pietà ;13030;4;2;4,114944416;4;0
meraviglia;12878;4;3;4,109848421;2;2
vergogna;11782;7;3;4,071219018;5;2
fastidio;11490;7;3;4,060320029;5;2
simpatia;11162;5;2;4,047742018;4;1
agio;11126;2;2;4,046339056;1;1
angoscia;10852;6;2;4,035509785;4;2
indifferenza;9305;1;1;3,968716377;1;0
schifo;8953;5;2;3,951968584;3;2
nostalgia;8892;5;2;3,948999454;5;0
ira;8749;2;2;3,941958417;0;2
stupore;8234;2;2;3,915610863;2;0
panico;7910;5;2;3,898176483;4;1
noia;7867;4;2;3,89580915;2;2
furia;7387;3;2;3,868468099;2;1
invidia;7000;4;2;3,84509804;3;1
diffidenza;6144;2;1;3,788451207;2;0
malinconia;5395;6;3;3,731991449;4;2
inquietudine;5239;3;2;3,719248398;3;0
malessere;5031;0;0;3,701654317;0;0
shock;4957;1;1;3,695218919;0;1
tormento;4352;3;2;3,638688887;1;2
nausea;3892;7;3;3,590172832;5;2
rancore;3828;2;1;3,582971929;2;0
disinteresse;3244;0;0;3,511080846;0;0
cordoglio;3167;1;1;3,500648063;1;0
estasi;2897;2;2;3,461948495;2;0
eccitazione;2753;1;1;3,439806211;1;0
collera;2628;4;3;3,419625361;2;2
avversione;2581;3;1;3,411788005;3;0
rimorso;2401;3;1;3,38039216;3;0
paranoia;2269;5;3;3,355834496;3;2
apprensione;2226;1;1;3,34752516;1;0
euforia;2170;2;1;3,336459734;1;1
malcontento;2076;0;0;3,317227349;0;0
soggezione;1987;4;2;3,298197867;4;0
disappunto;1967;0;0;3,29380436;0;0
frenesia;1892;3;2;3,276921132;2;1
empatia;1792;3;1;3,253338005;2;1
impazienza;1737;2;2;3,239799818;0;2
disgusto;1722;4;3;3,236033147;2;2
malumore;1650;0;0;3,217483944;0;0
antipatia;1514;4;2;3,180125875;3;1
letizia;1447;4;2;3,160468531;2;2
astio;1446;1;1;3,160168293;1;0
foga;1379;0;0;3,139564266;0;0
apatia;1263;0;0;3,101403351;0;0
strazio;1096;2;2;3,039810554;0;2
ansietà ;801;0;0;2,903632516;0;0
disaffezione;791;0;0;2,898176483;0;0
giubilo;728;0;0;2,862131379;0;0
gaudio;717;1;1;2,855519156;1;0
livore;584;0;0;2,766412847;0;0
magone;550;0;0;2,740362689;0;0
stizza;535;2;2;2,728353782;0;2
melanconia;449;0;0;2,652246341;0;0
ribrezzo;404;2;2;2,606381365;2;0
sollazzo;289;2;2;2,460897843;0;2
acredine;247;0;0;2,392696953;0;0
disamore;214;0;0;2,330413773;0;0
acrimonia;132;0;0;2,120573931;0;0
fifa;3;0;0;0,477121255;0;0
