cxn;n_types;n_tokens;max_n_tokens;avg_n_tokens;median_n_tokens;asp_c_type;freq_pmw
avere;43;73559;44371;1710.67;79;stative;46.15
provare;45;5580;765;124;66;stative;3.50
sentire;23;1381;550;60.04;26;stative;0.87
essere_in;10;1231;451;123.1;62;stative;0.77
conversion;6;63803;36774;10633.83;6149;stative;40.03
conversion+si;6;24173;11826;4028.83;306;stative;15.17
parasynthesis;1;2633;2633;2633;2633;stative;1.65
suffixation;3;2576;2475;858.67;85;stative;1.62
andare_in;7;495;189;70.71;42;inchoative;0.31
farsi;1;707;707;707;707;inchoative;0.44
prendere;5;907;579;181.4;81;inchoative;0.57
conversion+si;13;31702;11826;2438.62;190;inchoative;19.89
parasynthesis+si;13;23537;13721;1810.54;144;inchoative;14.77
dare;26;12747;7165;490.27;490.27;causative;8.00
fare;22;20582;7365;935.55;46;causative;12.91
mettere;15;1362;899;90.80;26.5;causative;0.85
conversion;17;284059;195639;16709.35;4851;causative;178.21
parasynthesis;12;83787;34592;6982.25;3012.5;causative;52.56
suffixation;2;10533;10522;5266.5;5266.5;causative;6.61
