pred1;pred2;n;type;col
avere;provare;34;stative;blue
avere;sentire;22;stative;blue
provare;sentire;22;stative;blue
avere;conversion_stative;6;stative;blue
provare;conversion_stative;5;stative;blue
provare;essere_in;4;stative;blue
avere;essere_in;3;stative;blue
avere;suffixation_stative;3;stative;blue
provare;conversion+si_stative;3;stative;blue
provare;suffixation_stative;3;stative;blue
sentire;conversion_stative;3;stative;blue
avere;conversion+si_stative;2;stative;blue
provare;parasynthesis+si_stative;1;stative;blue
sentire;essere_in;1;stative;blue
sentire;conversion+si_stative;1;stative;blue
sentire;suffixation_stative;1;stative;blue
essere_in;conversion_stative;1;stative;blue
essere_in;conversion+si_stative;1;stative;blue
andare_in;parasynthesis+si_inchoative;3;inchoative;yellow
farsi;prendere;1;inchoative;yellow
prendere;conversion+si_inchoative;1;inchoative;yellow
prendere;parasynthesis+si_inchoative;1;inchoative;yellow
andare_in;conversion+si_inchoative;1;inchoative;yellow
dare;fare;10;causative;red
dare;mettere;11;causative;red
fare;mettere;8;causative;red
dare;conversion_causative;7;causative;red
dare;parasynthesis;8;causative;red
fare;parasynthesis;6;causative;red
fare;conversion_causative;4;causative;red
mettere;parasynthesis;3;causative;red
mettere;conversion_causative;2;causative;red
dare;suffixation_causative;1;causative;red
fare;suffixation_causative;1;causative;red
mettere;suffixation_causative;1;causative;red
