noun;cxn;event_type
interesse;avere_LVC;stative
interesse;prendere_LVC;inchoative
interesse;provare_LVC;stative
interesse;conversion_caus;causative
interesse;conversion_si;inchoative
interesse;conversion_si_stat;stative
amore;avere_LVC;stative
amore;provare_LVC;stative
amore;sentire_LVC;stative
amore;conversion_si;inchoative
amore;parasynthesis_si;inchoative
dubbio;essere_in_LVC;stative
paura;avere_LVC;stative
paura;dare_LVC;causative
paura;fare_LVC;causative
paura;mettere_LVC;causative
paura;prendere_LVC;inchoative
paura;provare_LVC;stative
paura;sentire_LVC;stative
paura;parasynthesis_caus;causative
paura;parasynthesis_si;inchoative
paura;mettersi_LVC;inchoative
pena;avere_LVC;stative
pena;dare_LVC;causative
pena;essere_in_LVC;stative
pena;fare_LVC;causative
pena;prendere_LVC;inchoative
pena;provare_LVC;stative
pena;sentire_LVC;stative
pena;conversion_stat;stative
dolore;avere_LVC;stative
dolore;dare_LVC;causative
dolore;fare_LVC;causative
dolore;provare_LVC;stative
dolore;sentire_LVC;stative
dolore;parasynthesis_caus;causative
dolore;parasynthesis_si;inchoative
desiderio;avere_LVC;stative
desiderio;provare_LVC;stative
desiderio;sentire_LVC;stative
passione;avere_LVC;stative
passione;provare_LVC;stative
passione;sentire_LVC;stative
passione;parasynthesis_caus;causative
passione;parasynthesis_si;inchoative
fiducia;avere_LVC;stative
fiducia;dare_LVC;causative
fiducia;mettere_LVC;causative
fiducia;prendere_LVC;inchoative
fiducia;provare_LVC;stative
emozione;avere_LVC;stative
emozione;dare_LVC;causative
emozione;provare_LVC;stative
emozione;sentire_LVC;stative
emozione;conversion_caus;causative
emozione;conversion_si;inchoative
gioia;avere_LVC;stative
gioia;dare_LVC;causative
gioia;mettere_LVC;causative
gioia;provare_LVC;stative
gioia;sentire_LVC;stative
gioia;conversion_stat;stative
coraggio;avere_LVC;stative
coraggio;dare_LVC;causative
coraggio;fare_LVC;causative
coraggio;mettere_LVC;causative
coraggio;prendere_LVC;inchoative
coraggio;parasynthesis_caus;causative
coraggio;farsi_LVC;inchoative
disagio;avere_LVC;stative
disagio;dare_LVC;causative
disagio;provare_LVC;stative
disagio;sentire_LVC;stative
affetto;avere_LVC;stative
affetto;provare_LVC;stative
affetto;sentire_LVC;stative
impressione;avere_LVC;stative
impressione;dare_LVC;causative
impressione;fare_LVC;causative
impressione;conversion_caus;causative
impressione;conversion_si;inchoative
timore;avere_LVC;stative
timore;dare_LVC;causative
timore;fare_LVC;causative
timore;provare_LVC;stative
timore;sentire_LVC;stative
timore;parasynthesis_caus;causative
timore;parasynthesis_si;inchoative
odio;avere_LVC;stative
odio;provare_LVC;stative
odio;sentire_LVC;stative
odio;conversion_stat;stative
entusiasmo;avere_LVC;stative
entusiasmo;dare_LVC;causative
entusiasmo;mettere_LVC;causative
entusiasmo;conversion_caus;causative
entusiasmo;conversion_si;inchoative
rabbia;avere_LVC;stative
rabbia;fare_LVC;causative
rabbia;mettere_LVC;causative
rabbia;provare_LVC;stative
rabbia;sentire_LVC;stative
rabbia;parasynthesis_si;inchoative
ansia;andare_in_LVC;inchoative
ansia;avere_LVC;stative
ansia;dare_LVC;causative
ansia;essere_in_LVC;stative
ansia;mettere_LVC;causative
ansia;provare_LVC;stative
terrore;avere_LVC;stative
terrore;fare_LVC;causative
terrore;mettere_LVC;causative
terrore;provare_LVC;stative
terrore;suffixation_caus;causative
orgoglio;avere_LVC;stative
orgoglio;dare_LVC;causative
orgoglio;provare_LVC;stative
orgoglio;parasynthesis_caus;causative
orgoglio;parasynthesis_si;inchoative
orrore;avere_LVC;stative
orrore;fare_LVC;causative
orrore;mettere_LVC;causative
orrore;provare_LVC;stative
orrore;sentire_LVC;stative
calma;avere_LVC;stative
calma;dare_LVC;causative
calma;conversion_caus;causative
calma;conversion_si;inchoative
pietà;avere_LVC;stative
pietà;fare_LVC;causative
pietà;provare_LVC;stative
pietà;sentire_LVC;stative
meraviglia;fare_LVC;causative
meraviglia;provare_LVC;stative
meraviglia;conversion_caus;causative
meraviglia;conversion_si;inchoative
vergogna;avere_LVC;stative
vergogna;dare_LVC;causative
vergogna;fare_LVC;causative
vergogna;mettere_LVC;causative
vergogna;provare_LVC;stative
vergogna;sentire_LVC;stative
vergogna;conversion_si;inchoative
vergogna;conversion_si_stat;stative
fastidio;avere_LVC;stative
fastidio;dare_LVC;causative
fastidio;fare_LVC;causative
fastidio;provare_LVC;stative
fastidio;sentire_LVC;stative
fastidio;parasynthesis_caus;causative
fastidio;parasynthesis_si;inchoative
simpatia;avere_LVC;stative
simpatia;fare_LVC;causative
simpatia;provare_LVC;stative
simpatia;sentire_LVC;stative
simpatia;suffixation_stat;stative
agio;avere_LVC;stative
agio;conversion_caus;causative
angoscia;dare_LVC;causative
angoscia;essere_in_LVC;stative
angoscia;mettere_LVC;causative
angoscia;provare_LVC;stative
angoscia;conversion_caus;causative
angoscia;conversion_si;inchoative
angoscia;conversion_si_stat;stative
indifferenza;provare_LVC;stative
schifo;avere_LVC;stative
schifo;fare_LVC;causative
schifo;provare_LVC;stative
schifo;conversion_caus;causative
schifo;conversion_stat;stative
nostalgia;avere_LVC;stative
nostalgia;fare_LVC;causative
nostalgia;mettere_LVC;causative
nostalgia;provare_LVC;stative
nostalgia;sentire_LVC;stative
ira;parasynthesis_caus;causative
ira;parasynthesis_si;inchoative
stupore;fare_LVC;causative
stupore;provare_LVC;stative
panico;andare_in_LVC;inchoative
panico;essere_in_LVC;stative
panico;provare_LVC;stative
panico;conversion_si;inchoative
noia;dare_LVC;causative
noia;provare_LVC;stative
noia;parasynthesis_caus;causative
noia;parasynthesis_si_stat;stative
furia;andare_in_LVC;inchoative
furia;avere_LVC;stative
furia;parasynthesis_si;inchoative
invidia;avere_LVC;stative
invidia;fare_LVC;causative
invidia;provare_LVC;stative
invidia;conversion_stat;stative
diffidenza;avere_LVC;stative
diffidenza;provare_LVC;stative
malinconia;dare_LVC;causative
malinconia;fare_LVC;causative
malinconia;mettere_LVC;causative
malinconia;provare_LVC;stative
malinconia;parasynthesis_caus;causative
malinconia;parasynthesis_si;inchoative
inquietudine;dare_LVC;causative
inquietudine;mettere_LVC;causative
inquietudine;provare_LVC;stative
shock;conversion_caus;causative
tormento;dare_LVC;causative
tormento;conversion_caus;causative
tormento;conversion_si_stat;stative
nausea;avere_LVC;stative
nausea;dare_LVC;causative
nausea;fare_LVC;causative
nausea;provare_LVC;stative
nausea;sentire_LVC;stative
nausea;conversion_caus;causative
nausea;conversion_si;inchoative
rancore;avere_LVC;stative
rancore;provare_LVC;stative
cordoglio;sentire_LVC;stative
estasi;andare_in_LVC;inchoative
estasi;essere_in_LVC;stative
eccitazione;provare_LVC;stative
collera;andare_in_LVC;inchoative
collera;essere_in_LVC;stative
collera;parasynthesis_caus;causative
collera;parasynthesis_si;inchoative
avversione;avere_LVC;stative
avversione;provare_LVC;stative
avversione;sentire_LVC;stative
rimorso;avere_LVC;stative
rimorso;provare_LVC;stative
rimorso;sentire_LVC;stative
paranoia;andare_in_LVC;inchoative
paranoia;avere_LVC;stative
paranoia;essere_in_LVC;stative
paranoia;conversion_caus;causative
paranoia;parasynthesis_si;inchoative
apprensione;essere_in_LVC;stative
euforia;dare_LVC;causative
euforia;suffixation_caus;causative
soggezione;avere_LVC;stative
soggezione;dare_LVC;causative
soggezione;mettere_LVC;causative
frenesia;andare_in_LVC;inchoative
frenesia;essere_in_LVC;stative
empatia;avere_LVC;stative
empatia;provare_LVC;stative
empatia;suffixation_stat;stative
impazienza;conversion_caus;causative
impazienza;conversion_si;inchoative
disgusto;avere_LVC;stative
disgusto;provare_LVC;stative
disgusto;conversion_caus;causative
disgusto;conversion_si;inchoative
antipatia;avere_LVC;stative
antipatia;fare_LVC;causative
antipatia;provare_LVC;stative
antipatia;suffixation_stat;stative
letizia;avere_LVC;stative
letizia;dare_LVC;causative
letizia;conversion_stat;stative
astio;provare_LVC;stative
strazio;conversion_caus;causative
strazio;conversion_si_stat;stative
gaudio;dare_LVC;causative
stizza;conversion_caus;causative
stizza;conversion_si;inchoative
ribrezzo;fare_LVC;causative
ribrezzo;provare_LVC;stative
sollazzo;conversion_caus;causative
sollazzo;conversion_si_stat;stative
